yo lavo las manas,я умываю руки
la vida loca,сумасшедшая жизнь
casa de campo,загородный дом
por eso,поэтому
yo me levanto a las ocho,я встаю в восемь
entonces,"итак, тогда, значит"
yo le di un libro,я дал ему книгу
dime,скажи мне
"digame, por favor",скажите (мне) пожалуйста
yo dije,я сказал
yo te digo,я тебе говорю
¡dame!,дай мне!
¿de que tú dices?,о чём ты говоришь?
¿que te dijo?,что он тебе сказал?
el no me dijo nada,он не сказал мне ничего
"el me prometeo todo, pero no me dio nada","он обещал мне всё, но не дал ничего"
hay que saber,надо знать
tener que,быть должным что-то сделать
tengo que hablar contigo,я должен поговорить с тобой
hoy yo tengo que trabajar,сегодня я должен работать
yo necesito tu ayda,мне нужна твоя помощь
¿que tú necesitas?,что тебе нужно?
¿no piensas que ella tiene razon?,"не думаешь, что она права?"
¿quanto le debo?,сколько я должен?
yo puedo ayudarte,я могу помочь тебе
puede ser,может быть
aqui no se puede fumar,здесь нельзя курить
el vende,он продает
se vende,продаётся
demasiado,"слишком, чрезмерно"
aquí se habla ruso,здесь говорят по-русски
esto se come con pan,это едят с хлебом
"lindo, bello, bonito, hermoso",красивый
¡que bueno!,"как хорошо, как вкусно!"
alguien,кто-нибудь
nadie,никто
nunca,никогда
en alguna parte,где-то
en todas partes,во всех местах
en ninguna parte,нигде
en todos los cines,во всех кинотеатрах
siempre,всегда
algunas veces,иногда
hay que comer en alguna parte,надо бы где-то поесть
¡ven acá!,иди сюда!
¡venga!,подойдите!
haga el favor,сделайте одолжение
dentro de tres dias,через три дня
cada,каждый
tu te equivocas,ты ошибаешься
en medio,в среднем
puede ser,может быть
el mismo,то же самое
ningun,никакой
claro,"конечно, ясный, светлый"
claro que si,конечно да
¡como no!,конечно!
tener miedo,"иметь страх, бояться"
estar de acuerdo,быть согласным
alto,высокий
más alto,выше
el más alto,самый высокий
mejor,лучше
el mejor,самый лучший
malo,плохой
peor,хуже
el peor,самый плохой
rubio,блондин
se puede discutir,можно поспорить
entre,между
viejo,старый
joven,молодой
nuevo,новый
dibujo,"рисунок, узор"
oscuro,тёмный
escoger,выбирать
leva muy bien,ему очень идёт
me va,мне идёт
sobre,на (местоположение)
debajo,под (местоположение)
dentro,"во, в (местоположение)"
encima,над (местоположение)
delante,перед (местоположение)
esperanza,надежда
yo te espero,я тебя жду
yo espero que…,"я надеюсь, что…"
quitarse,снимать
ponerse,надевать
¡pon!,положи!
¡ponga!,положите!
peligro,опасность
es peligroso,это опасно
